date,open,high,low,close,volume,pe,pb,sentiment,ma5,ma20,macd_dif,macd_dea,macd_hist,rsi14,golden_cross,death_cross,entry_signal,exit_signal,position,turnover,fee,strategy_ret,benchmark_ret,strategy_nav,benchmark_nav,period
2020-02-25,20.83,23.35,20.76,22.92,40743409.0,63.88,3.44,0.5,21.644,19.656,1.038917206393343,0.7541073997213421,0.5696196133440017,71.51983761284157,0,0,0,0,1.0,0.0,0.0,0.07052779075198523,0.07052779075198523,1.048361938757059,1.4711168164313217,训练集
2020-02-26,22.57,24.52,22.32,23.19,52276832.0,63.88,3.44,0.5,22.276,19.848,1.1715575169889796,0.8375974231748696,0.6679201876282199,72.45489538801058,0,0,0,0,1.0,0.0,0.0,0.011780104712041828,0.011780104712041828,1.0607117521717364,1.4884467265725283,训练集
2020-02-27,23.19,23.66,22.02,22.66,27269996.0,63.88,3.44,0.5,22.402,20.0135,1.2198477031594734,0.9140474791717904,0.6116004479753661,67.75251057553416,0,0,0,0,1.0,0.0,0.0,-0.022854678740836576,-0.022854678740836576,1.0364695258392216,1.4544287548138632,训练集
2020-02-28,21.56,22.32,21.01,21.15,33825352.0,63.88,3.44,0.5,22.266,20.1035,1.1233246558211505,0.9559029145016624,0.3348434826389759,56.50139979656896,0,0,0,0,1.0,0.0,0.0,-0.06663724624889678,-0.06663724624889678,0.9674020508163961,1.3575096277278556,训练集
2020-03-02,21.22,21.75,20.7,21.62,22564321.0,63.88,3.44,0.5,22.308,20.3135,1.072392642598004,0.9792008601209308,0.1863835649541461,58.795039032480936,0,0,0,0,1.0,0.0,0.0,0.022222222222222365,0.022222222222222365,0.9888998741678717,1.3876765083440303,训练集
2020-03-03,22.58,22.71,21.82,21.95,27425292.0,65.49,3.53,0.5,22.114,20.4995,1.0465924311827417,0.992679174333293,0.1078265136988969,60.374907328487744,0,0,0,0,1.0,0.0,0.0,0.015263644773357843,0.015263644773357843,1.0039940905635885,1.4088575096277272,训练集
2020-03-04,21.66,21.93,20.94,21.54,18093253.0,65.49,3.53,0.5,21.784,20.593,0.9817450583510344,0.9904923511368412,-0.0174945855716139,57.42875383548304,0,0,0,0,1.0,0.0,0.0,-0.01867881548974948,-0.01867881548974948,0.9852406701931523,1.3825417201540429,训练集
2020-03-05,21.68,21.87,21.19,21.61,17000367.0,65.49,3.53,0.5,21.574,20.691000000000003,0.9253347798264712,0.9774608368747671,-0.1042521140965919,57.80731401816442,0,0,0,0,1.0,0.0,0.0,0.0032497678737233304,0.0032497678737233304,0.9884424736710317,1.3870346598202816,训练集
2020-03-06,21.19,21.85,21.13,21.14,14720960.0,65.49,3.53,0.5,21.572,20.8115,0.8331006894744455,0.9485888073947027,-0.2309762358405147,54.314927713495486,0,0,0,0,1.0,0.0,0.0,-0.021749190189726875,-0.021749190189726875,0.9669446503195563,1.3568677792041073,训练集
2020-03-09,20.47,20.47,19.14,19.23,29247882.0,65.49,3.53,0.5,21.094,20.7875,0.5989788159567659,0.8786668091071156,-0.5593759863006993,42.95711330481804,0,0,0,0,1.0,0.0,0.0,-0.09035004730368967,-0.09035004730368967,0.8795811554231348,1.2342747111681638,训练集
2020-03-10,18.63,19.89,18.55,19.46,26680523.0,65.49,3.53,0.5,20.596,20.8055,0.4270716066086493,0.7883477686074224,-0.7225523239975462,44.46315136294073,0,1,0,1,1.0,0.0,0.0,0.011960478419136722,0.011960478419136722,0.8901013668504525,1.2490372272143768,训练集
2020-03-11,19.66,19.78,18.96,19.0,22221247.0,56.69,3.06,0.5,20.088,20.798,0.2508244014885186,0.6808430951836417,-0.8600373873902463,42.0707742694811,0,0,0,0,0.0,1.0,0.0095,-0.024126413155190225,-0.023638232271325887,0.8686264135238189,1.2195121951219505,训练集
2020-03-12,18.54,18.65,18.08,18.45,23238254.0,56.69,3.06,0.5,19.456,20.7895,0.0660059427591974,0.5578756646987529,-0.9837394438791108,39.34489083205394,0,0,0,0,0.0,0.0,0.0,-0.0,-0.02894736842105272,0.8686264135238189,1.1842105263157887,训练集
2020-03-13,17.4,18.28,16.93,18.0,21319807.0,56.69,3.06,0.5,18.828,20.769,-0.1154444843678632,0.4232116348854297,-1.077312238506586,37.21999523387316,0,0,0,0,0.0,0.0,0.0,-0.0,-0.024390243902438935,0.8686264135238189,1.1553273427471111,训练集
2020-03-16,18.31,18.55,17.43,17.43,23877348.0,56.69,3.06,0.5,18.468,20.6945,-0.3017609787338777,0.2782171121615683,-1.159956181790892,34.66610993896937,0,0,0,0,0.0,0.0,0.0,-0.0,-0.03166666666666673,0.8686264135238189,1.1187419768934526,训练集
2020-03-17,17.43,17.78,16.78,17.16,18091852.0,56.69,3.06,0.5,18.008,20.5905,-0.4658350301176881,0.129406683705717,-1.1904834276468104,33.493746163589776,0,0,0,0,0.0,0.0,0.0,-0.0,-0.015490533562822706,0.8686264135238189,1.101412066752246,训练集
2020-03-18,17.34,17.68,16.83,16.85,17268432.0,56.69,3.06,0.5,17.577999999999996,20.4315,-0.6138037594911303,-0.0192354049336524,-1.1891367091149556,32.14939508600847,0,0,0,0,0.0,0.0,0.0,-0.0,-0.01806526806526798,0.8686264135238189,1.081514762516046,训练集
2020-03-19,16.86,16.99,16.14,16.61,19445000.0,49.56,2.67,0.5,17.21,20.1605,-0.7418840601741259,-0.1637651359817471,-1.1562378483847575,31.108371700146648,0,0,0,0,0.0,0.0,0.0,-0.0,-0.014243323442136635,0.8686264135238189,1.0661103979460844,训练集
2020-03-20,16.92,17.08,16.63,16.99,14829620.0,49.56,2.67,0.5,17.008000000000003,19.9185,-0.8034639645818977,-0.2917049017017773,-1.0235181257602408,34.71308607548984,0,0,0,0,0.0,0.0,0.0,0.0,0.022877784467188356,0.8686264135238189,1.0905006418485232,训练集
2020-03-23,16.25,16.43,15.49,15.58,24273976.0,49.56,2.67,0.5,16.637999999999998,19.627,-0.95503267641611,-0.4243704566446438,-1.0613244395429322,28.710191714364285,0,0,0,0,0.0,0.0,0.0,-0.0,-0.08298999411418473,0.8686264135238189,0.9999999999999997,训练集
2020-03-24,15.93,16.14,15.33,16.09,20502711.0,49.56,2.67,0.5,16.424,19.285500000000003,-1.022215767723072,-0.5439395188603295,-0.9565524977254848,33.209229841734,0,0,0,0,0.0,0.0,0.0,0.0,0.032734274711168077,0.8686264135238189,1.0327342747111676,训练集
2020-03-25,16.68,17.08,16.51,16.9,28978742.0,49.56,2.67,0.5,16.434,18.971,-0.9985875256675812,-0.6348691202217799,-0.7274368108916025,39.71638335372657,0,0,0,0,0.0,0.0,0.0,0.0,0.05034182722187697,0.8686264135238189,1.0847240051347877,训练集
2020-03-26,16.98,17.85,16.69,17.56,29662084.0,49.56,2.67,0.5,16.624000000000002,18.716,-0.916045882739006,-0.6911044727252251,-0.4498828200275615,44.46417275398761,0,0,0,0,0.0,0.0,0.0,0.0,0.03905325443786989,0.8686264135238189,1.1270860077021818,训练集
2020-03-27,17.92,18.13,17.61,17.72,22997249.0,52.86,2.85,0.5,16.77,18.5445,-0.8281737022936682,-0.7185183186389137,-0.2193107673095089,45.58306169344139,0,0,0,0,0.0,0.0,0.0,0.0,0.009111617312072884,0.8686264135238189,1.137355584082156,训练集
2020-03-30,17.79,18.69,17.75,18.19,32893740.0,52.86,2.85,0.5,17.291999999999998,18.373,-0.7123972224314343,-0.7172940993974178,0.009793753931967,48.84350797874954,0,0,0,0,0.0,0.0,0.0,0.0,0.026523702031602925,0.8686264135238189,1.1675224646983309,训练集
2020-03-31,18.36,19.41,17.94,19.4,35017444.0,52.86,2.85,0.5,17.954,18.2455,-0.5170464507737691,-0.6772445696726882,0.3203962377978382,56.130924955165625,0,0,0,0,0.0,0.0,0.0,0.0,0.06652006597031312,0.8686264135238189,1.2451861360718863,训练集
2020-04-01,19.38,19.62,18.44,18.48,36556547.0,52.86,2.85,0.5,18.27,18.0925,-0.4314918980417133,-0.6280940353464932,0.3932042746095598,50.267549327825634,1,0,1,0,0.0,0.0,0.0,-0.0,-0.04742268041237108,0.8686264135238189,1.186136071887034,训练集
2020-04-02,18.34,18.34,17.73,18.31,23384169.0,52.86,2.85,0.5,18.42,17.9275,-0.37310594478393,-0.5770964172339806,0.4079809449001013,49.243917245767705,0,0,0,0,1.0,1.0,0.009155,-0.0004954004329004328,-0.009199134199134318,0.8681960956225304,1.1752246469833112,训练集
